Year,Violent crime,Violent crime rate
2000,281421906.00,1425486.00
2001,285317559.00,1439480.00
2002,287973924.00,1423677.00
2003,290788976.00,1383676.00
2004,293656842.00,1360088.00
2005,296507061.00,1390745.00
2006,299398484.00,1435123.00
2007,301621157.00,1422970.00
2008,304059724.00,1394461.00
2009,307006550.00,1325896.00
2010,309330219.00,1251248.00
2011,311587816.00,1206005.00
2012,313873685.00,1217057.00
2013,316497531.00,1168298.00
2014,318907401.00,1153022.00
2015,320896618.00,1199310.00
2016,323405935.00,1250162.00
2017,325147121.00,1247917.00
2018,326687501.00,1209997.00
2019,328239523.00,1203808.00
